City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Kahului,US,2021-01-17 23:01:42,20.8947,-156.47,80.6,61,40,10.36
60,Wynyard,AU,2021-01-17 23:01:42,-41.0,145.7167,60.01,68,74,13.0
61,Mataura,NZ,2021-01-17 23:01:43,-46.1927,168.8643,62.01,54,47,7.0
62,Khasan,RU,2021-01-17 23:01:43,42.4308,130.6434,17.49,81,100,12.93
63,Saint-Philippe,RE,2021-01-17 23:01:43,-21.3585,55.7679,78.8,73,0,4.61
64,Damaturu,NG,2021-01-17 23:01:43,11.747,11.9608,70.5,22,14,6.89
65,Albany,US,2021-01-17 23:01:43,42.6001,-73.9662,37.99,79,100,1.01
66,Camacha,PT,2021-01-17 23:01:44,33.0833,-16.3333,57.2,62,75,5.75
67,Jashpurnagar,IN,2021-01-17 23:01:44,22.9,84.15,50.83,46,0,2.44
68,Norman Wells,CA,2021-01-17 23:01:44,65.282,-126.8329,-9.4,77,90,2.3
69,Kropotkin,RU,2021-01-17 23:01:44,45.4375,40.5756,33.37,95,100,6.96
70,Tasiilaq,GL,2021-01-17 23:01:44,65.6145,-37.6368,17.6,73,0,6.91
71,Klaksvik,FO,2021-01-17 23:01:44,62.2266,-6.589,33.8,93,75,16.11
72,Muzhi,RU,2021-01-17 23:01:45,65.3667,64.6667,-16.33,88,100,4.32
73,Vaini,TO,2021-01-17 23:01:45,-21.2,-175.2,86.0,74,75,11.5
74,Rawson,AR,2021-01-17 22:56:51,-43.3002,-65.1023,67.33,52,23,11.07
75,Harper,LR,2021-01-17 23:01:45,4.375,-7.7169,78.84,82,0,6.58
76,Yellowknife,CA,2021-01-17 23:01:19,62.456,-114.3525,1.4,85,90,4.61
77,Bathsheba,BB,2021-01-17 23:01:46,13.2167,-59.5167,78.8,73,40,19.57
78,Mahebourg,MU,2021-01-17 23:01:46,-20.4081,57.7,78.8,78,75,11.5
79,Lima,PE,2021-01-17 23:00:11,-12.0432,-77.0282,75.2,64,0,17.27
80,Khatanga,RU,2021-01-17 23:01:47,71.9667,102.5,-25.64,81,0,13.89
81,Douentza,ML,2021-01-17 23:01:47,14.9951,-2.9517,67.48,22,59,6.44
82,Puerto Ayora,EC,2021-01-17 23:01:47,-0.7393,-90.3518,80.6,69,75,17.27
83,Bitburg,DE,2021-01-17 23:01:47,49.9667,6.5333,35.6,93,90,9.22
84,Olafsvik,IS,2021-01-17 23:01:48,64.8945,-23.7142,36.45,94,99,4.56
85,Khorixas,NA,2021-01-17 23:01:48,-20.3667,14.9667,69.35,53,73,8.77
86,Urucara,BR,2021-01-17 23:01:48,-2.5364,-57.76,80.37,69,54,2.42
87,Inndyr,NO,2021-01-17 23:01:48,67.0338,14.0276,23.0,74,20,14.97
88,Kaitangata,NZ,2021-01-17 23:01:49,-46.2817,169.8464,62.01,41,57,10.0
89,Bredasdorp,ZA,2021-01-17 23:01:49,-34.5322,20.0403,68.0,77,82,9.22
90,Bowen,AU,2021-01-17 23:01:49,-20.0167,148.2333,75.2,94,75,11.5
91,Pacific Grove,US,2021-01-17 23:01:49,36.6177,-121.9166,80.6,27,1,5.75
